2011-03-31 21:37:17,055 [9] INFO  Ц NHibernate 2.1.2.4000 (2.1.2.4000)
2011-03-31 21:37:17,056 [9] INFO  Ц hibernate-configuration section not found in application configuration file
2011-03-31 21:37:17,056 [9] INFO  Ц Bytecode provider name : lcg
2011-03-31 21:37:17,057 [9] INFO  Ц Using reflection optimizer
2011-03-31 21:37:17,353 [9] INFO  Ц Using dialect: NHibernate.Dialect.MsSql2008Dialect
2011-03-31 21:37:20,043 [9] INFO  Ц Mapping class: Domain.Forecast -> FORECAST
2011-03-31 21:37:20,133 [9] INFO  Ц Using dialect: NHibernate.Dialect.MsSql2008Dialect
2011-03-31 21:37:20,162 [9] INFO  Ц Mapping class: Domain.Ljuser -> LJUSER
2011-03-31 21:37:20,179 [9] INFO  Ц checking mappings queue
2011-03-31 21:37:20,180 [9] INFO  Ц processing one-to-many association mappings
2011-03-31 21:37:20,183 [9] INFO  Ц mapping collection: Domain.Ljuser.Forecasts -> FORECAST
2011-03-31 21:37:20,187 [9] INFO  Ц processing one-to-one association property references
2011-03-31 21:37:20,188 [9] INFO  Ц processing foreign key constraints
2011-03-31 21:37:20,191 [9] INFO  Ц processing filters (second pass)
2011-03-31 21:37:20,214 [9] INFO  Ц Using dialect: NHibernate.Dialect.MsSql2008Dialect
2011-03-31 21:37:20,215 [9] INFO  Ц Using dialect defined converter
2011-03-31 21:37:20,215 [9] INFO  Ц Generate SQL with comments: disabled
2011-03-31 21:37:20,216 [9] INFO  Ц Initializing connection provider: NHibernate.Connection.DriverConnectionProvider
2011-03-31 21:37:20,217 [9] INFO  Ц Configuring ConnectionProvider
2011-03-31 21:37:20,218 [9] INFO  Ц Transaction factory: NHibernate.Transaction.AdoNetWithDistrubtedTransactionFactory
2011-03-31 21:37:20,219 [9] INFO  Ц Optimize cache for minimal puts: False
2011-03-31 21:37:20,219 [9] INFO  Ц Connection release mode: auto
2011-03-31 21:37:20,219 [9] INFO  Ц Default batch fetch size: 1
2011-03-31 21:37:20,219 [9] INFO  Ц Statistics: enabled
2011-03-31 21:37:20,219 [9] INFO  Ц Deleted entity synthetic identifier rollback: disabled
2011-03-31 21:37:20,220 [9] INFO  Ц Query translator: NHibernate.Hql.Ast.ANTLR.ASTQueryTranslatorFactory
2011-03-31 21:37:20,221 [9] INFO  Ц Query language substitutions: {}
2011-03-31 21:37:20,221 [9] INFO  Ц cache provider: NHibernate.Cache.NoCacheProvider, NHibernate, Version=2.1.2.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4
2011-03-31 21:37:20,224 [9] INFO  Ц Batcher factory: NHibernate.AdoNet.SqlClientBatchingBatcherFactory, NHibernate, Version=2.1.2.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4
2011-03-31 21:37:20,225 [9] INFO  Ц Default entity-mode: Poco
2011-03-31 21:37:20,225 [9] INFO  Ц Named query checking : enabled
2011-03-31 21:37:20,245 [9] INFO  Ц building session factory
2011-03-31 21:37:20,558 [9] INFO  Ц no name configured
2011-03-31 21:37:20,696 [9] INFO  Ц SELECT top 2 this_.LJUSER_ID as LJUSER1_1_0_, this_.NAME as NAME1_0_ FROM LJUSER this_ WHERE this_.NAME = @p0
2011-03-31 21:37:21,218 [9] WARN  Ц ёзер rh_creep сделал 1 прогнозов
2011-03-31 21:37:21,218 [9] WARN  Ц 1. 1:1<br />2. 1:0<br />3. 2:1<br />4. 1:2<br />5. 1:2<br />6. 3:0<br />7. 0:1<br />8. 1:1<p style='margin: 0.7em 0 0.2em 0'><font size='-2'>(<a href='http://community.livejournal.com/ru_football/7192133.html?replyto=423139141'>Reply to this</a>) </font></p>
2011-03-31 21:37:21,228 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,230 [9] INFO  Ц done processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,265 [9] INFO  Ц processing cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for: Domain.Ljuser
2011-03-31 21:37:21,267 [9] INFO  Ц cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,358 [9] INFO  Ц done cascade NHibernate.Engine.CascadingAction+SaveUpdateCascadingAction for collection: Domain.Ljuser.Forecasts
2011-03-31 21:37:21,358 [9] INFO  Ц deleting orphans for collection: Domain.Ljuser.Forecasts
